rank_expected_gdp_growth,regional_rank_expected_gdp_growth,country_name,iso_code,expected_gdp_growth_2009_2020,growth_1998_2008,rank_income_2009_usd,income_2009_usd,rank_income_2020,expected_income_2020_usd,expected_population_growth,region
26,4/16,SYRIAN ARAB REPUBLIC,SYR,4.45%,0.7%,86,"2,474",87,"3,346",1.67%,MIDDLE EAST AND NORTH AFRICA
27,5/16,VIETNAM,VNM,4.41%,5.9%,105,"1,113",99,"1,622",0.93%,EAST ASIA AND PACIFIC
28,12/26,CÔTE D'IVOIRE,CIV,4.37%,-2.0%,106,"1,106",103,"1,402",2.19%,SUB-SAHARAN AFRICA
29,13/26,GHANA,GHA,4.36%,3.1%,107,"1,098",104,"1,388",2.20%,SUB-SAHARAN AFRICA
30,5/16,TUNISIA,TUN,4.31%,3.9%,80,"3,792",75,"5,456",0.95%,MIDDLE EAST AND NORTH AFRICA
31,14/26,MOZAMBIQUE,MOZ,4.26%,4.7%,125,428,124,533,2.23%,SUB-SAHARAN AFRICA
32,6/16,INDONESIA,IDN,4.22%,3.4%,89,"2,349",86,"3,363",0.91%,EAST ASIA AND PACIFIC
33,5/21,COLOMBIA,COL,4.22%,1.8%,63,"5,126",64,"7,107",1.20%,LATIN AMERICA AND THE CARIBBEAN
34,6/21,COSTA RICA,CRI,4.21%,3.0%,58,"6,386",56,"8,807",1.24%,LATIN AMERICA AND THE CARIBBEAN
35,15/26,NAMIBIA,NAM,4.15%,2.7%,72,"4,267",72,"5,637",1.59%,SUB-SAHARAN AFRICA
36,7/21,PARAGUAY,PRY,4.15%,0.5%,91,"2,242",90,"2,941",1.65%,LATIN AMERICA AND THE CARIBBEAN
37,6/16,ISRAEL,ISR,4.03%,1.8%,26,"26,256",26,"34,309",1.57%,MIDDLE EAST AND NORTH AFRICA
38,8/21,DOMINICAN REPUBLIC,DOM,3.93%,3.8%,66,"4,637",66,"6,272",1.14%,LATIN AMERICA AND THE CARIBBEAN
39,9/21,NICARAGUA,NIC,3.92%,2.7%,108,"1,069",102,"1,417",1.33%,LATIN AMERICA AND THE CARIBBEAN
40,2/27,TURKEY,TUR,3.88%,2.4%,47,"8,215",47,"11,168",1.05%,EASTERN EUROPE AND CENTRAL ASIA
41,7/16,CAMBODIA,KHM,3.84%,7.6%,117,706,116,942,1.18%,EAST ASIA AND PACIFIC
42,7/16,SAUDI ARABIA,SAU,3.82%,0.9%,34,"14,799",37,"18,011",2.02%,MIDDLE EAST AND NORTH AFRICA
43,3/27,UZBEKISTAN,UZB,3.76%,4.7%,101,"1,156",100,"1,534",1.15%,EASTERN EUROPE AND CENTRAL ASIA
44,16/26,GUINEA,GIN,3.73%,1.3%,126,407,125,467,2.49%,SUB-SAHARAN AFRICA
45,17/26,NIGERIA,NGA,3.72%,3.1%,103,"1,118",110,"1,270",2.55%,SUB-SAHARAN AFRICA
46,10/21,EL SALVADOR,SLV,3.71%,2.4%,82,"3,424",79,"4,770",0.65%,LATIN AMERICA AND THE CARIBBEAN
47,8/16,LEBANON,LBN,3.71%,2.3%,48,"8,175",46,"11,373",0.66%,MIDDLE EAST AND NORTH AFRICA
48,4/27,BELARUS,BLR,3.66%,8.1%,64,"5,075",61,"7,806",-0.33%,EASTERN EUROPE AND CENTRAL ASIA
49,3/4,SRI LANKA,LKA,3.66%,4.1%,92,"2,068",91,"2,852",0.69%,SOUTH ASIA
50,11/21,BOLIVIA,BOL,3.59%,1.4%,94,"1,758",96,"2,194",1.56%,LATIN AMERICA AND THE CARIBBEAN
51,4/4,BANGLADESH,BGD,3.59%,4.0%,120,551,119,715,1.18%,SOUTH ASIA
52,9/16,MOROCCO,MAR,3.53%,3.0%,83,"2,811",83,"3,727",0.94%,MIDDLE EAST AND NORTH AFRICA
53,8/16,LAO PDR,LAO,3.52%,4.9%,112,940,113,"1,199",1.28%,EAST ASIA AND PACIFIC
54,12/21,BRAZIL,BRA,3.50%,2.1%,46,"8,230",48,"11,067",0.77%,LATIN AMERICA AND THE CARIBBEAN
55,13/21,ARGENTINA,ARG,3.44%,1.9%,50,"7,626",52,"10,130",0.82%,LATIN AMERICA AND THE CARIBBEAN
56,9/16,"KOREA, REP.",KOR,3.42%,4.8%,30,"17,078",30,"23,866",0.33%,EAST ASIA AND PACIFIC
57,5/27,TAJIKISTAN,TJK,3.42%,6.8%,116,716,117,885,1.47%,EASTERN EUROPE AND CENTRAL ASIA
58,18/26,SOUTH AFRICA,ZAF,3.37%,2.5%,61,"5,786",60,"7,920",0.48%,SUB-SAHARAN AFRICA
59,14/21,ECUADOR,ECU,3.35%,2.6%,74,"4,202",77,"5,290",1.24%,LATIN AMERICA AND THE CARIBBEAN
60,6/27,CZECH REPUBLIC,CZE,3.35%,3.8%,29,"18,139",29,"25,415",0.23%,EASTERN EUROPE AND CENTRAL ASIA
61,7/27,ALBANIA,ALB,3.33%,6.0%,79,"3,808",76,"5,302",0.28%,EASTERN EUROPE AND CENTRAL ASIA
62,8/27,MOLDOVA,MDA,3.33%,5.2%,97,"1,516",95,"2,321",-0.62%,EASTERN EUROPE AND CENTRAL ASIA
63,19/26,CAMEROON,CMR,3.30%,1.3%,102,"1,136",108,"1,296",2.10%,SUB-SAHARAN AFRICA
64,9/27,BOSNIA AND HERZEGOVINA,BIH,3.28%,5.0%,68,"4,525",65,"6,669",-0.30%,EASTERN EUROPE AND CENTRAL ASIA
65,10/16,"HONG KONG SAR, CHINA",HKG,3.28%,4.0%,23,"30,065",23,"38,450",1.02%,EAST ASIA AND PACIFIC
66,11/16,SINGAPORE,SGP,3.27%,4.1%,19,"36,537",19,"46,943",0.96%,EAST ASIA AND PACIFIC
67,10/27,SERBIA,SRB,3.24%,3.9%,60,"5,872",58,"8,467",-0.14%,EASTERN EUROPE AND CENTRAL ASIA
68,15/21,PERU,PER,3.23%,3.7%,71,"4,469",73,"5,635",1.10%,LATIN AMERICA AND THE CARIBBEAN
69,11/27,SLOVAK REPUBLIC,SVK,3.23%,5.0%,32,"16,176",31,"22,579",0.15%,EASTERN EUROPE AND CENTRAL ASIA
70,10/16,UNITED ARAB EMIRATES,ARE,3.23%,1.7%,7,"50,070",10,"57,151",2.02%,MIDDLE EAST AND NORTH AFRICA
71,12/27,UKRAINE,UKR,3.19%,7.0%,87,"2,468",84,"3,694",-0.54%,EASTERN EUROPE AND CENTRAL ASIA
72,20/26,ANGOLA,AGO,3.19%,7.8%,75,"4,081",82,"4,329",2.65%,SUB-SAHARAN AFRICA
73,11/16,QATAR,QAT,3.16%,NA,2,"69,754",3,"77,008",2.26%,MIDDLE EAST AND NORTH AFRICA
74,13/27,HUNGARY,HUN,3.15%,4.0%,37,"12,868",36,"18,420",-0.16%,EASTERN EUROPE AND CENTRAL ASIA
75,14/27,ROMANIA,ROU,3.15%,5.7%,52,"7,500",50,"10,823",-0.24%,EASTERN EUROPE AND CENTRAL ASIA
76,12/16,OMAN,OMN,3.13%,2.8%,31,"16,207",35,"18,971",1.69%,MIDDLE EAST AND NORTH AFRICA
77,15/27,POLAND,POL,3.10%,4.4%,40,"11,273",38,"15,727",0.03%,EASTERN EUROPE AND CENTRAL ASIA
78,12/16,PAPUA NEW GUINEA,PNG,3.01%,-0.2%,100,"1,172",109,"1,292",2.13%,EAST ASIA AND PACIFIC
79,13/16,KUWAIT,KWT,3.00%,2.6%,5,"54,260",6,"59,391",2.17%,MIDDLE EAST AND NORTH AFRICA
80,13/16,MONGOLIA,MNG,2.99%,5.0%,96,"1,573",98,"1,858",1.46%,EAST ASIA AND PACIFIC
81,14/16,NEW ZEALAND,NZL,2.91%,1.8%,24,"29,352",24,"36,132",1.00%,EAST ASIA AND PACIFIC
82,21/26,GABON,GAB,2.90%,-1.5%,51,"7,502",59,"8,362",1.91%,SUB-SAHARAN AFRICA
83,16/27,SLOVENIA,SVN,2.90%,4.2%,27,"23,726",27,"31,881",0.18%,EASTERN EUROPE AND CENTRAL ASIA
84,16/21,URUGUAY,URY,2.90%,1.5%,44,"9,420",42,"12,399",0.37%,LATIN AMERICA AND THE CARIBBEAN
85,22/26,SUDAN,SDN,2.89%,4.7%,98,"1,294",105,"1,374",2.35%,SUB-SAHARAN AFRICA
86,17/27,"MACEDONIA, FYR",MKD,2.89%,2.8%,69,"4,515",67,"6,141",0.06%,EASTERN EUROPE AND CENTRAL ASIA
87,17/21,CHILE,CHL,2.85%,2.6%,43,"9,644",43,"12,054",0.80%,LATIN AMERICA AND THE CARIBBEAN
88,1/2,UNITED STATES,USA,2.84%,1.6%,9,"45,989",9,"57,260",0.83%,NORTH AMERICA
89,23/26,BOTSWANA,BWA,2.84%,3.5%,59,"6,064",62,"7,449",0.95%,SUB-SAHARAN AFRICA
90,18/27,KAZAKHSTAN,KAZ,2.81%,8.3%,53,"7,257",55,"8,853",0.99%,EASTERN EUROPE AND CENTRAL ASIA
91,24/26,"CONGO, REP.",COG,2.80%,1.3%,85,"2,601",92,"2,794",2.15%,SUB-SAHARAN AFRICA
92,1/16,UNITED KINGDOM,GBR,2.76%,2.1%,20,"35,165",20,"44,505",0.59%,WESTERN EUROPE
93,2/16,IRELAND,IRL,2.71%,3.7%,6,"51,049",5,"61,138",1.06%,WESTERN EUROPE
94,19/27,CROATIA,HRV,2.71%,3.9%,36,"14,222",32,"19,528",-0.21%,EASTERN EUROPE AND CENTRAL ASIA
95,25/26,MAURITIUS,MUS,2.69%,3.2%,56,"6,735",57,"8,578",0.47%,SUB-SAHARAN AFRICA
96,18/21,JAMAICA,JAM,2.66%,1.0%,70,"4,471",71,"5,773",0.31%,LATIN AMERICA AND THE CARIBBEAN
97,19/21,"VENEZUELA, RB",VEN,2.64%,1.4%,39,"11,490",41,"13,138",1.41%,LATIN AMERICA AND THE CARIBBEAN
98,3/16,SPAIN,ESP,2.63%,2.0%,22,"31,774",22,"39,863",0.55%,WESTERN EUROPE
99,20/27,BULGARIA,BGR,2.62%,6.3%,57,"6,423",54,"9,178",-0.68%,EASTERN EUROPE AND CENTRAL ASIA
100,4/16,SWEDEN,SWE,2.61%,2.5%,13,"43,654",12,"54,522",0.57%,WESTERN EUROPE
101,5/16,FRANCE,FRA,2.58%,1.4%,15,"41,051",16,"51,566",0.48%,WESTERN EUROPE
102,15/16,JAPAN,JPN,2.57%,1.1%,17,"39,738",14,"53,304",-0.14%,EAST ASIA AND PACIFIC
103,2/2,CANADA,CAN,2.56%,1.9%,18,"39,599",18,"47,520",0.89%,NORTH AMERICA
104,21/27,ESTONIA,EST,2.56%,6.6%,35,"14,238",34,"18,984",-0.09%,EASTERN EUROPE AND CENTRAL ASIA
105,22/27,TURKMENISTAN,TKM,2.53%,13.6%,77,"3,904",81,"4,521",1.19%,EASTERN EUROPE AND CENTRAL ASIA
106,14/16,ALGERIA,DZA,2.53%,2.2%,76,"4,029",80,"4,632",1.26%,MIDDLE EAST AND NORTH AFRICA
107,16/16,AUSTRALIA,AUS,2.49%,2.2%,14,"42,279",17,"48,355",1.26%,EAST ASIA AND PACIFIC
108,26/26,MAURITANIA,MRT,2.48%,1.7%,113,919,115,949,2.19%,SUB-SAHARAN AFRICA
109,23/27,RUSSIAN FEDERATION,RUS,2.44%,7.3%,45,"8,684",45,"11,491",-0.14%,EASTERN EUROPE AND CENTRAL ASIA
110,24/27,LITHUANIA,LTU,2.35%,6.7%,41,"11,141",40,"15,034",-0.41%,EASTERN EUROPE AND CENTRAL ASIA
111,25/27,AZERBAIJAN,AZE,2.33%,14.3%,65,"4,899",74,"5,617",1.08%,EASTERN EUROPE AND CENTRAL ASIA
112,6/16,FINLAND,FIN,2.33%,3.0%,11,"44,581",11,"55,630",0.30%,WESTERN EUROPE
113,7/16,ITALY,ITA,2.31%,0.7%,21,"35,084",21,"44,497",0.12%,WESTERN EUROPE
114,26/27,LATVIA,LVA,2.25%,7.6%,38,"11,616",39,"15,454",-0.37%,EASTERN EUROPE AND CENTRAL ASIA
115,8/16,PORTUGAL,PRT,2.25%,1.1%,28,"21,903",28,"28,136",-0.05%,WESTERN EUROPE
116,9/16,AUSTRIA,AUT,2.24%,2.0%,10,"45,562",8,"57,271",0.14%,WESTERN EUROPE
117,15/16,"IRAN, ISLAMIC REP.",IRN,2.18%,3.5%,67,"4,540",78,"5,214",0.92%,MIDDLE EAST AND NORTH AFRICA
118,10/16,GERMANY,DEU,2.17%,1.5%,16,"40,670",15,"52,428",-0.16%,WESTERN EUROPE
119,20/21,CUBA,CUB,2.14%,5.9%,62,"5,596",63,"7,126",-0.08%,LATIN AMERICA AND THE CARIBBEAN
120,11/16,SWITZERLAND,CHE,2.13%,1.3%,3,"63,629",2,"77,233",0.36%,WESTERN EUROPE
121,27/27,GEORGIA,GEO,2.13%,7.1%,88,"2,449",88,"3,308",-0.64%,EASTERN EUROPE AND CENTRAL ASIA
122,12/16,BELGIUM,BEL,2.12%,1.7%,12,"43,671",13,"53,457",0.27%,WESTERN EUROPE
123,16/16,LIBYA,LBY,2.08%,2.1%,42,"9,714",49,"10,828",1.09%,MIDDLE EAST AND NORTH AFRICA
124,13/16,NETHERLANDS,NLD,1.97%,1.9%,8,"47,917",7,"57,784",0.25%,WESTERN EUROPE
125,14/16,DENMARK,DNK,1.96%,1.3%,4,"55,992",4,"66,902",0.33%,WESTERN EUROPE
126,15/16,GREECE,GRC,1.96%,3.6%,25,"29,240",25,"35,476",0.18%,WESTERN EUROPE
127,21/21,TRINIDAD AND TOBAGO,TTO,1.95%,6.7%,33,"15,841",33,"19,097",0.24%,LATIN AMERICA AND THE CARIBBEAN
128,16/16,NORWAY,NOR,1.77%,1.6%,1,"79,089",1,"88,980",0.69%,WESTERN EUROPE
