ranking_contribution_to_world_gdp_growth_to_2020,regional_ranking_contribution_to_world_gdp_growth_to_2020,country_name,iso_code,contribution_to_world_gdp_growth_to_2020,region
35,4/16,UNITED ARAB EMIRATES,ARE,0.42%,MIDDLE EAST AND NORTH AFRICA
36,9/16,"HONG KONG SAR, CHINA",HKG,0.39%,EAST ASIA AND PACIFIC
37,5/16,"IRAN, ISLAMIC REP.",IRN,0.39%,MIDDLE EAST AND NORTH AFRICA
38,2/26,NIGERIA,NGA,0.38%,SUB-SAHARAN AFRICA
39,4/27,CZECH REPUBLIC,CZE,0.36%,EASTERN EUROPE AND CENTRAL ASIA
40,11/16,NORWAY,NOR,0.36%,WESTERN EUROPE
41,12/16,GREECE,GRC,0.34%,WESTERN EUROPE
42,13/16,IRELAND,IRL,0.34%,WESTERN EUROPE
43,10/16,SINGAPORE,SGP,0.34%,EAST ASIA AND PACIFIC
44,14/16,DENMARK,DNK,0.32%,WESTERN EUROPE
45,15/16,FINLAND,FIN,0.30%,WESTERN EUROPE
46,5/27,ROMANIA,ROU,0.29%,EASTERN EUROPE AND CENTRAL ASIA
47,16/16,PORTUGAL,PRT,0.28%,WESTERN EUROPE
48,6/21,CHILE,CHL,0.26%,LATIN AMERICA AND THE CARIBBEAN
49,11/16,VIETNAM,VNM,0.26%,EAST ASIA AND PACIFIC
50,6/16,KUWAIT,KWT,0.26%,MIDDLE EAST AND NORTH AFRICA
51,7/21,PERU,PER,0.24%,LATIN AMERICA AND THE CARIBBEAN
52,6/27,HUNGARY,HUN,0.23%,EASTERN EUROPE AND CENTRAL ASIA
53,12/16,NEW ZEALAND,NZL,0.21%,EAST ASIA AND PACIFIC
54,7/27,UKRAINE,UKR,0.20%,EASTERN EUROPE AND CENTRAL ASIA
55,7/16,ALGERIA,DZA,0.20%,MIDDLE EAST AND NORTH AFRICA
56,3/4,BANGLADESH,BGD,0.19%,SOUTH ASIA
57,8/16,MOROCCO,MAR,0.18%,MIDDLE EAST AND NORTH AFRICA
58,8/27,KAZAKHSTAN,KAZ,0.18%,EASTERN EUROPE AND CENTRAL ASIA
59,9/16,QATAR,QAT,0.18%,MIDDLE EAST AND NORTH AFRICA
60,9/27,SLOVAK REPUBLIC,SVK,0.16%,EASTERN EUROPE AND CENTRAL ASIA
61,10/16,SYRIAN ARAB REPUBLIC,SYR,0.14%,MIDDLE EAST AND NORTH AFRICA
62,3/26,ANGOLA,AGO,0.14%,SUB-SAHARAN AFRICA
63,8/21,GUATEMALA,GTM,0.13%,LATIN AMERICA AND THE CARIBBEAN
64,4/26,KENYA,KEN,0.12%,SUB-SAHARAN AFRICA
65,9/21,ECUADOR,ECU,0.11%,LATIN AMERICA AND THE CARIBBEAN
66,10/21,DOMINICAN REPUBLIC,DOM,0.11%,LATIN AMERICA AND THE CARIBBEAN
67,10/27,BELARUS,BLR,0.10%,EASTERN EUROPE AND CENTRAL ASIA
68,11/16,TUNISIA,TUN,0.10%,MIDDLE EAST AND NORTH AFRICA
69,11/27,CROATIA,HRV,0.09%,EASTERN EUROPE AND CENTRAL ASIA
70,4/4,SRI LANKA,LKA,0.09%,SOUTH ASIA
71,5/26,TANZANIA,TZA,0.09%,SUB-SAHARAN AFRICA
72,6/26,SUDAN,SDN,0.09%,SUB-SAHARAN AFRICA
73,12/16,JORDAN,JOR,0.08%,MIDDLE EAST AND NORTH AFRICA
74,13/16,OMAN,OMN,0.08%,MIDDLE EAST AND NORTH AFRICA
75,14/16,"YEMEN, REP.",YEM,0.08%,MIDDLE EAST AND NORTH AFRICA
76,7/26,ETHIOPIA,ETH,0.08%,SUB-SAHARAN AFRICA
77,12/27,SERBIA,SRB,0.08%,EASTERN EUROPE AND CENTRAL ASIA
78,13/27,SLOVENIA,SVN,0.08%,EASTERN EUROPE AND CENTRAL ASIA
79,11/21,PANAMA,PAN,0.08%,LATIN AMERICA AND THE CARIBBEAN
80,15/16,LEBANON,LBN,0.07%,MIDDLE EAST AND NORTH AFRICA
81,12/21,COSTA RICA,CRI,0.07%,LATIN AMERICA AND THE CARIBBEAN
82,13/21,CUBA,CUB,0.07%,LATIN AMERICA AND THE CARIBBEAN
83,14/27,UZBEKISTAN,UZB,0.07%,EASTERN EUROPE AND CENTRAL ASIA
84,8/26,UGANDA,UGA,0.07%,SUB-SAHARAN AFRICA
85,16/16,LIBYA,LBY,"0,07%",MIDDLE EAST AND NORTH AFRICA
86,9/26,GHANA,GHA,0.07%,SUB-SAHARAN AFRICA
87,15/27,BULGARIA,BGR,0.07%,EASTERN EUROPE AND CENTRAL ASIA
88,10/26,CÔTE D'IVOIRE,CIV,0.06%,SUB-SAHARAN AFRICA
89,16/27,AZERBAIJAN,AZE,0.05%,EASTERN EUROPE AND CENTRAL ASIA
90,14/21,URUGUAY,URY,0.05%,LATIN AMERICA AND THE CARIBBEAN
91,11/26,SENEGAL,SEN,0.05%,SUB-SAHARAN AFRICA
92,17/27,LITHUANIA,LTU,0.05%,EASTERN EUROPE AND CENTRAL ASIA
93,15/21,EL SALVADOR,SLV,0.05%,LATIN AMERICA AND THE CARIBBEAN
94,12/26,ZAMBIA,ZMB,0.04%,SUB-SAHARAN AFRICA
95,13/26,CAMEROON,CMR,0.04%,SUB-SAHARAN AFRICA
96,16/21,HONDURAS,HND,0.04%,LATIN AMERICA AND THE CARIBBEAN
97,17/21,BOLIVIA,BOL,0.04%,LATIN AMERICA AND THE CARIBBEAN
98,18/21,PARAGUAY,PRY,0.04%,LATIN AMERICA AND THE CARIBBEAN
99,14/26,MADAGASCAR,MDG,0.03%,SUB-SAHARAN AFRICA
100,18/27,BOSNIA AND HERZEGOVINA,BIH,0.03%,EASTERN EUROPE AND CENTRAL ASIA
101,19/27,LATVIA,LVA,0.03%,EASTERN EUROPE AND CENTRAL ASIA
102,20/27,TURKMENISTAN,TKM,0.03%,EASTERN EUROPE AND CENTRAL ASIA
103,15/26,MALI,MLI,0.03%,SUB-SAHARAN AFRICA
104,21/27,ESTONIA,EST,0.03%,EASTERN EUROPE AND CENTRAL ASIA
105,16/26,MOZAMBIQUE,MOZ,0.03%,SUB-SAHARAN AFRICA
106,13/16,CAMBODIA,KHM,0.02%,EAST ASIA AND PACIFIC
107,17/26,NAMIBIA,NAM,0.02%,SUB-SAHARAN AFRICA
108,22/27,ALBANIA,ALB,0.02%,EASTERN EUROPE AND CENTRAL ASIA
109,18/26,ZIMBABWE,ZWE,0.02%,SUB-SAHARAN AFRICA
110,19/21,TRINIDAD AND TOBAGO,TTO,0.02%,LATIN AMERICA AND THE CARIBBEAN
111,19/26,BOTSWANA,BWA,0.02%,SUB-SAHARAN AFRICA
112,20/26,GABON,GAB,0.02%,SUB-SAHARAN AFRICA
113,20/21,JAMAICA,JAM,0.02%,LATIN AMERICA AND THE CARIBBEAN
114,21/26,MALAWI,MWI,0.02%,SUB-SAHARAN AFRICA
115,22/26,"CONGO, REP.",COG,0.01%,SUB-SAHARAN AFRICA
116,23/27,"MACEDONIA, FYR",MKD,0.01%,EASTERN EUROPE AND CENTRAL ASIA
117,21/21,NICARAGUA,NIC,0.01%,LATIN AMERICA AND THE CARIBBEAN
118,14/16,PAPUA NEW GUINEA,PNG,0.01%,EAST ASIA AND PACIFIC
119,24/27,KYRGYZ REPUBLIC,KGZ,0.01%,EASTERN EUROPE AND CENTRAL ASIA
120,23/26,MAURITIUS,MUS,0.01%,SUB-SAHARAN AFRICA
121,15/16,LAO PDR,LAO,0.01%,EAST ASIA AND PACIFIC
122,25/27,GEORGIA,GEO,0.01%,EASTERN EUROPE AND CENTRAL ASIA
123,26/27,MOLDOVA,MDA,0.01%,EASTERN EUROPE AND CENTRAL ASIA
124,27/27,TAJIKISTAN,TJK,0.01%,EASTERN EUROPE AND CENTRAL ASIA
125,24/26,GUINEA,GIN,0.01%,SUB-SAHARAN AFRICA
126,16/16,MONGOLIA,MNG,0.01%,EAST ASIA AND PACIFIC
127,25/26,MAURITANIA,MRT,0.00%,SUB-SAHARAN AFRICA
128,26/26,LIBERIA,LBR,0.00%,SUB-SAHARAN AFRICA
