rank_eci_complexity_2008,regional_eci_ranking,country_name,iso_code,eci_2008,rank_income_2009_usd,income_2009_usd,region
55,1/26,SOUTH AFRICA,ZAF,0.131,61,"5,786",SUB-SAHARAN AFRICA
56,6/21,URUGUAY,URY,0.109,44,"9,420",LATIN AMERICA AND THE CARIBBEAN
57,7/21,ARGENTINA,ARG,0.106,50,"7,626",LATIN AMERICA AND THE CARIBBEAN
58,19/27,ALBANIA,ALB,0.087,79,"3,808",EASTERN EUROPE AND CENTRAL ASIA
59,9/16,PHILIPPINES,PHL,0.032,95,"1,752",EAST ASIA AND PACIFIC
60,8/21,EL SALVADOR,SLV,0.026,82,"3,424",LATIN AMERICA AND THE CARIBBEAN
61,10/16,INDONESIA,IDN,-0.007,89,"2,349",EAST ASIA AND PACIFIC
62,20/27,"MACEDONIA, FYR",MKD,-0.018,69,"4,515",EASTERN EUROPE AND CENTRAL ASIA
63,5/16,"EGYPT, ARAB REP.",EGY,-0.021,90,"2,270",MIDDLE EAST AND NORTH AFRICA
64,9/21,DOMINICAN REPUBLIC,DOM,-0.064,66,"4,637",LATIN AMERICA AND THE CARIBBEAN
65,10/21,GUATEMALA,GTM,-0.099,84,"2,661",LATIN AMERICA AND THE CARIBBEAN
66,6/16,UNITED ARAB EMIRATES,ARE,-0.106,7,"50,070",MIDDLE EAST AND NORTH AFRICA
67,11/16,VIETNAM,VNM,-0.181,105,"1,113",EAST ASIA AND PACIFIC
68,7/16,SAUDI ARABIA,SAU,-0.201,34,"14,799",MIDDLE EAST AND NORTH AFRICA
69,21/27,KYRGYZ REPUBLIC,KGZ,-0.240,114,860,EASTERN EUROPE AND CENTRAL ASIA
70,22/27,GEORGIA,GEO,-0.263,88,"2,449",EASTERN EUROPE AND CENTRAL ASIA
71,2/4,SRI LANKA,LKA,-0.265,92,"2,068",SOUTH ASIA
72,2/26,NAMIBIA,NAM,-0.271,72,"4,267",SUB-SAHARAN AFRICA
73,3/26,KENYA,KEN,-0.276,115,738,SUB-SAHARAN AFRICA
74,4/26,SENEGAL,SEN,-0.287,109,"1,023",SUB-SAHARAN AFRICA
75,8/16,SYRIAN ARAB REPUBLIC,SYR,-0.290,86,"2,474",MIDDLE EAST AND NORTH AFRICA
76,11/21,TRINIDAD AND TOBAGO,TTO,-0.306,33,"15,841",LATIN AMERICA AND THE CARIBBEAN
77,5/26,MAURITIUS,MUS,-0.307,56,"6,735",SUB-SAHARAN AFRICA
78,12/21,CHILE,CHL,-0.312,43,"9,644",LATIN AMERICA AND THE CARIBBEAN
79,12/16,AUSTRALIA,AUS,-0.321,14,"42,279",EAST ASIA AND PACIFIC
80,6/26,ZIMBABWE,ZWE,-0.327,122,449,SUB-SAHARAN AFRICA
81,13/21,JAMAICA,JAM,-0.343,70,"4,471",LATIN AMERICA AND THE CARIBBEAN
82,3/4,PAKISTAN,PAK,-0.398,111,955,SOUTH ASIA
83,9/16,MOROCCO,MAR,-0.400,83,"2,811",MIDDLE EAST AND NORTH AFRICA
84,14/21,CUBA,CUB,-0.426,62,"5,596",LATIN AMERICA AND THE CARIBBEAN
85,10/16,QATAR,QAT,-0.438,2,"69,754",MIDDLE EAST AND NORTH AFRICA
86,15/21,PARAGUAY,PRY,-0.474,91,"2,242",LATIN AMERICA AND THE CARIBBEAN
87,7/26,UGANDA,UGA,-0.488,121,490,SUB-SAHARAN AFRICA
88,16/21,HONDURAS,HND,-0.518,93,"1,918",LATIN AMERICA AND THE CARIBBEAN
89,17/21,PERU,PER,-0.576,71,"4,469",LATIN AMERICA AND THE CARIBBEAN
90,8/26,MADAGASCAR,MDG,-0.594,123,438,SUB-SAHARAN AFRICA
91,11/16,OMAN,OMN,-0.604,31,"16,207",MIDDLE EAST AND NORTH AFRICA
92,23/27,KAZAKHSTAN,KAZ,-0.608,53,"7,257",EASTERN EUROPE AND CENTRAL ASIA
93,18/21,ECUADOR,ECU,-0.619,74,"4,202",LATIN AMERICA AND THE CARIBBEAN
94,9/26,BOTSWANA,BWA,-0.620,59,"6,064",SUB-SAHARAN AFRICA
95,10/26,TANZANIA,TZA,-0.637,120,503,SUB-SAHARAN AFRICA
96,24/27,UZBEKISTAN,UZB,-0.658,101,"1,156",EASTERN EUROPE AND CENTRAL ASIA
97,19/21,NICARAGUA,NIC,-0.661,108,"1,069",LATIN AMERICA AND THE CARIBBEAN
98,13/16,CAMBODIA,KHM,-0.702,117,706,EAST ASIA AND PACIFIC
99,11/26,CÔTE D'IVOIRE,CIV,-0.868,106,"1,106",SUB-SAHARAN AFRICA
100,12/26,GHANA,GHA,-0.868,107,"1,098",SUB-SAHARAN AFRICA
101,20/21,BOLIVIA,BOL,-0.879,94,"1,758",LATIN AMERICA AND THE CARIBBEAN
102,14/16,LAO PDR,LAO,-0.880,112,940,EAST ASIA AND PACIFIC
103,4/4,BANGLADESH,BGD,-0.887,119,551,SOUTH ASIA
104,13/26,ETHIOPIA,ETH,-0.892,126,344,SUB-SAHARAN AFRICA
105,14/26,ZAMBIA,ZMB,-0.933,110,990,SUB-SAHARAN AFRICA
106,15/26,MALAWI,MWI,-1.024,127,310,SUB-SAHARAN AFRICA
107,12/16,"YEMEN, REP.",YEM,-1.042,104,"1,118",MIDDLE EAST AND NORTH AFRICA
108,25/27,TAJIKISTAN,TJK,-1.054,116,716,EASTERN EUROPE AND CENTRAL ASIA
109,16/26,MOZAMBIQUE,MOZ,-1.077,124,428,SUB-SAHARAN AFRICA
110,17/26,MALI,MLI,-1.103,118,691,SUB-SAHARAN AFRICA
111,21/21,"VENEZUELA, RB",VEN,-1.109,39,"11,490",LATIN AMERICA AND THE CARIBBEAN
112,18/26,LIBERIA,LBR,-1.128,128,222,SUB-SAHARAN AFRICA
113,15/16,MONGOLIA,MNG,-1.166,96,"1,573",EAST ASIA AND PACIFIC
114,13/16,ALGERIA,DZA,-1.213,76,"4,029",MIDDLE EAST AND NORTH AFRICA
115,26/27,TURKMENISTAN,TKM,-1.217,77,"3,904",EASTERN EUROPE AND CENTRAL ASIA
116,14/16,KUWAIT,KWT,-1.219,5,"54,260",MIDDLE EAST AND NORTH AFRICA
117,27/27,AZERBAIJAN,AZE,-1.223,65,"4,899",EASTERN EUROPE AND CENTRAL ASIA
118,15/16,"IRAN, ISLAMIC REP.",IRN,-1.229,67,"4,540",MIDDLE EAST AND NORTH AFRICA
119,16/16,LIBYA,LBY,-1.304,42,"9,714",MIDDLE EAST AND NORTH AFRICA
120,19/26,GABON,GAB,-1.364,51,"7,502",SUB-SAHARAN AFRICA
121,20/26,CAMEROON,CMR,-1.403,102,"1,136",SUB-SAHARAN AFRICA
122,21/26,NIGERIA,NGA,-1.418,103,"1,118",SUB-SAHARAN AFRICA
123,22/26,GUINEA,GIN,-1.444,125,407,SUB-SAHARAN AFRICA
124,16/16,PAPUA NEW GUINEA,PNG,-1.577,100,"1,172",EAST ASIA AND PACIFIC
125,23/26,"CONGO, REP.",COG,-1.707,85,"2,601",SUB-SAHARAN AFRICA
126,24/26,SUDAN,SDN,-1.768,98,"1,294",SUB-SAHARAN AFRICA
127,25/26,ANGOLA,AGO,-1.793,75,"4,081",SUB-SAHARAN AFRICA
128,26/26,MAURITANIA,MRT,-1.907,113,919,SUB-SAHARAN AFRICA
